City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tidjikja,18.5564,-11.4271,39.0,10,4,5.27,MR,1712858280
1,puerto natales,-51.7236,-72.4875,10.25,57,0,2.06,CL,1712857820
2,nuuk,64.1835,-51.7216,-2.29,86,14,1.79,GL,1712858281
3,kamphaeng phet,16.25,99.5,30.17,46,9,1.02,TH,1712858281
4,tual,-5.6667,132.75,28.46,67,69,1.9,ID,1712858281
5,port-aux-francais,-49.35,70.2167,6.14,96,98,6.48,TF,1712858281
6,uturoa,-16.7333,-151.4333,28.62,78,46,7.02,PF,1712858281
7,avarua,-21.2078,-159.775,28.03,83,75,6.69,CK,1712858077
8,georgetown,5.4112,100.3354,29.41,83,20,1.03,MY,1712858282
9,tofol,5.3248,163.0078,27.01,86,100,7.17,FM,1712858282
10,vilyuchinsk,52.9306,158.4028,0.15,82,15,4.78,RU,1712858282
11,hadibu,12.65,54.0333,28.24,76,5,2.02,YE,1712858283
12,bilibino,68.0546,166.4372,-21.96,100,95,0.75,RU,1712858283
13,bethel,41.3712,-73.414,13.06,88,100,4.63,US,1712858205
14,kiunga,-6.1219,141.2906,23.4,100,100,1.07,PG,1712858284
15,kolonia town,6.964,158.206,27.38,83,100,7.84,FM,1712858284
16,san mariano,7.5,126.0,21.32,91,70,1.16,PH,1712858284
17,belem,-1.4558,-48.5044,30.02,79,75,5.66,BR,1712858174
18,grytviken,-54.2811,-36.5092,0.82,74,46,5.34,GS,1712858285
19,invercargill,-46.4,168.35,7.79,88,100,2.24,NZ,1712858285
20,san luis de la loma,17.2706,-100.8939,29.97,56,0,4.18,MX,1712858285
21,hermanus,-34.4187,19.2345,14.89,70,5,8.26,ZA,1712858285
22,marsala,37.7966,12.4352,16.97,67,0,4.12,IT,1712858286
23,revda,56.801,59.9303,6.62,73,95,5.93,RU,1712858286
24,papatowai,-46.5619,169.4708,7.34,89,100,3.08,NZ,1712858286
25,katsuren-haebaru,26.3369,127.8719,21.01,93,0,1.54,JP,1712858286
26,waitangi,-43.9535,-176.5597,16.01,95,55,2.68,NZ,1712858286
27,touros,-5.1989,-35.4608,29.54,71,77,3.3,BR,1712858287
28,adamstown,-25.066,-130.1015,21.43,56,81,8.29,PN,1712858287
29,puerto ayora,-0.7393,-90.3518,29.98,92,52,2.24,EC,1712858287
30,tiksi,71.6872,128.8694,-28.37,96,24,6.34,RU,1712858288
31,iqaluit,63.7506,-68.5145,-2.15,68,100,2.57,CA,1712858288
32,ilulissat,69.2167,-51.1,-5.8,70,100,0.11,GL,1712858288
33,tralee,52.2704,-9.7026,14.14,88,75,7.2,IE,1712858288
34,gereida,11.2811,25.1414,31.42,8,24,3.62,SD,1712858288
35,jamestown,42.097,-79.2353,20.77,77,100,6.17,US,1712858015
36,praia da vitoria,38.7333,-27.0667,20.14,77,40,2.51,PT,1712858289
37,rapar,23.5667,70.6333,28.06,60,0,5.17,IN,1712858289
38,wanning,18.8003,110.3967,23.84,91,67,1.12,CN,1712858289
39,khandyga,62.6667,135.6,-1.99,89,100,2.94,RU,1712858289
40,sawakin,19.1059,37.3321,25.98,56,55,4.06,SD,1712858289
41,sheksna,59.21,38.5107,10.98,59,21,6.49,RU,1712858290
42,viqueque,-8.8673,126.3658,24.57,85,70,0.93,TL,1712858290
43,arraial do cabo,-22.9661,-42.0278,30.98,74,20,4.63,BR,1712858009
44,bredasdorp,-34.5322,20.0403,14.88,67,0,5.13,ZA,1712858290
45,nayoro,44.3506,142.4578,3.97,80,100,1.81,JP,1712858290
46,whitehorse,60.7161,-135.0538,3.94,59,20,2.57,CA,1712858290
47,east london,-33.0153,27.9116,15.52,77,75,9.77,ZA,1712858211
48,vuktyl,63.8567,57.3094,0.62,96,100,7.6,RU,1712858291
49,blackmans bay,-43.0167,147.3167,10.29,86,99,0.89,AU,1712858291
50,sao joao da barra,-21.6403,-41.0511,33.05,78,0,4.23,BR,1712858291
51,paracuru,-3.41,-39.0306,28.95,76,70,3.02,BR,1712858287
52,longyearbyen,78.2186,15.6401,-14.09,66,0,2.57,SJ,1712858263
53,tabas,33.5959,56.9244,25.06,19,7,5.39,IR,1712858291
54,santa rosa,14.3122,121.1114,27.99,78,75,5.36,PH,1712858291
55,kuqa,41.7278,82.9364,17.64,23,17,1.68,CN,1712858292
56,constantia,44.1833,28.65,16.5,70,1,1.13,RO,1712858045
57,hawaiian paradise park,19.5933,-154.9731,21.69,98,100,2.06,US,1712858292
58,saint-junien,45.8833,0.9,16.58,84,78,1.93,FR,1712858292
59,luanco,43.6152,-5.7934,22.48,75,98,6.71,ES,1712858292
60,batamshinskiy,50.5594,58.2747,7.55,68,28,2.68,KZ,1712858292
61,saipan,15.1355,145.701,27.39,83,40,5.66,MP,1712858292
62,masterton,-40.9597,175.6575,19.94,94,99,4.19,NZ,1712858292
63,olonkinbyen,70.9221,-8.7187,-8.24,70,100,4.17,SJ,1712858293
64,edinburgh of the seven seas,-37.0676,-12.3116,17.56,93,100,3.35,SH,1712858293
65,yellowknife,62.456,-114.3525,1.34,86,75,5.14,CA,1712858054
66,tindouf,27.6711,-8.1474,35.25,7,0,2.06,DZ,1712858160
67,chonchi,-42.6128,-73.8092,16.56,45,0,1.21,CL,1712858293
68,serenje,-13.2325,30.2352,18.4,99,100,2.67,ZM,1712858293
69,port elizabeth,-33.918,25.5701,16.17,80,0,4.12,ZA,1712858293
70,tucurui,-3.7661,-49.6725,29.07,79,93,1.79,BR,1712858293
71,kwang binh,17.4833,106.6,23.71,95,89,0.89,VN,1712858294
72,missoula,47.0166,-113.8009,8.14,46,25,1.58,US,1712858117
73,scottburgh,-30.2867,30.7532,18.01,57,0,7.91,ZA,1712858294
74,port mathurin,-19.6833,63.4167,27.21,76,28,3.61,MU,1712858294
75,okhotsk,59.3833,143.3,-4.89,97,60,2.28,RU,1712858294
76,albany,42.6001,-73.9662,14.26,81,100,1.34,US,1712858057
77,udachny,66.4167,112.4,-28.08,100,77,2.23,RU,1712858294
78,fort st. john,56.2499,-120.8529,4.94,56,75,4.63,CA,1712858294
79,eket,4.6412,7.9209,28.32,80,67,4.52,NG,1712858295
80,coutras,45.0333,-0.1333,16.11,80,80,1.74,FR,1712858295
81,college,64.8569,-147.8028,2.32,66,100,3.09,US,1712858138
82,quang ngai,15.1167,108.8,22.83,92,90,1.87,VN,1712858295
83,aktau,43.65,51.2,17.32,53,9,7.26,KZ,1712858123
84,rabo de peixe,37.8,-25.5833,17.77,99,20,2.57,PT,1712858295
85,enewetak,11.3474,162.3373,26.84,80,84,10.54,MH,1712858296
86,isabela,6.7085,121.9711,26.32,80,53,1.57,PH,1712858296
87,slavyanka,42.8633,131.3847,2.97,98,63,1.84,RU,1712858296
88,thompson,55.7435,-97.8558,2.09,69,75,4.63,CA,1712858262
89,burg bei magdeburg,52.2715,11.8549,15.22,75,100,3.26,DE,1712858296
90,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,71,0,11.62,RU,1712858296
91,stanley,54.868,-1.6985,14.77,78,20,6.17,GB,1712858297
92,dalnerechensk,45.9339,133.7225,8.86,79,21,5.18,RU,1712858297
93,ushuaia,-54.8,-68.3,8.79,61,0,11.83,AR,1712858235
94,muromtsevo,56.3724,75.2418,-4.8,83,77,2.43,RU,1712858297
95,luderitz,-26.6481,15.1594,21.0,55,1,3.19,NA,1712858297
96,galveston,29.3669,-94.9669,27.24,42,0,7.72,US,1712858298
97,menongue,-14.6585,17.691,19.91,87,88,1.83,AO,1712858298
98,praia,14.9215,-23.5087,27.3,50,0,6.69,CV,1712858298
99,kailua-kona,19.6406,-155.9956,24.77,85,20,0.0,US,1712858298
100,vila franca do campo,37.7167,-25.4333,18.27,99,8,2.88,PT,1712858298
101,salinopolis,-0.6136,-47.3561,28.16,84,98,3.0,BR,1712858298
102,dudinka,69.4058,86.1778,-25.77,100,60,3.09,RU,1712858259
103,keflavik,64.0049,-22.5624,7.95,81,75,8.75,IS,1712858299
104,hithadhoo,-0.6,73.0833,28.84,74,55,1.77,MV,1712858299
105,selfoss,63.9331,-20.9971,2.44,98,100,4.94,IS,1712858299
106,labis,2.385,103.021,24.18,92,100,0.68,MY,1712858299
107,iskateley,67.6803,53.1512,1.68,100,100,7.6,RU,1712858299
108,igarka,67.4667,86.5833,-28.32,100,23,2.24,RU,1712858299
109,tirebolu,41.0069,38.8139,12.32,94,100,1.36,TR,1712858299
110,nouadhibou,20.931,-17.0347,23.99,64,0,7.2,MR,1712858300
111,port moresby,-9.4431,147.1797,25.68,83,40,2.57,PG,1712858300
112,trevelin,-43.0858,-71.4639,12.71,54,42,3.03,AR,1712858300
113,fort bragg,35.139,-79.006,22.91,73,100,7.2,US,1712858300
114,talnakh,69.4865,88.3972,-26.0,98,90,2.68,RU,1712858300
115,sant'antioco,39.0664,8.4522,13.87,71,44,1.64,IT,1712858300
116,patnagarh,20.7167,83.15,25.41,53,100,0.97,IN,1712858300
117,westport,41.1415,-73.3579,16.21,91,100,2.24,US,1712858256
118,silapathar,26.206,93.8095,25.06,40,97,1.05,IN,1712858301
119,lepsy,46.235,78.9456,10.57,83,100,2.3,KZ,1712858301
120,rohru,31.2167,77.75,11.29,57,35,1.78,IN,1712858301
121,haibara-akanedai,34.5333,135.95,11.47,90,89,1.61,JP,1712858301
122,sabirabad,40.0095,48.4752,13.38,76,100,4.11,AZ,1712858301
123,semnan,35.5729,53.3971,14.03,47,26,5.01,IR,1712858301
124,naze,28.3667,129.4833,18.51,86,53,0.76,JP,1712858302
125,bangassou,4.7413,22.8184,29.1,35,43,1.21,CF,1712858302
126,magole,-6.3667,37.3667,23.52,95,55,0.85,TZ,1712858302
127,changleng,28.7,115.8167,18.55,93,63,0.86,CN,1712858302
128,wailua homesteads,22.0669,-159.378,25.24,91,75,1.54,US,1712858302
129,port lincoln,-34.7333,135.8667,13.74,75,13,2.73,AU,1712858302
130,mount gambier,-37.8333,140.7667,12.97,60,95,1.59,AU,1712858079
131,bajna,27.9,77.6833,28.82,22,68,2.6,IN,1712858303
132,arno,60.1167,18.6333,6.55,84,100,6.58,SE,1712858303
133,vadso,70.0744,29.7487,2.09,80,40,3.6,NO,1712858303
134,berdigestyakh,62.0989,126.6992,-10.55,94,100,3.82,RU,1712858303
135,port pirie,-33.1833,138.0167,12.96,77,0,2.7,AU,1712858303
136,west island,-12.1568,96.8225,26.99,78,40,3.09,CC,1712858303
137,lihue,21.9789,-159.3672,25.58,89,75,1.54,US,1712858304
138,alta,69.9689,23.2717,2.59,83,75,31.29,NO,1712858304
139,broken hill,-31.95,141.4333,12.2,61,2,3.49,AU,1712858271
140,puerto baquerizo moreno,-0.9,-89.6,28.55,79,40,2.57,EC,1712858304
141,utrik,11.2278,169.8474,26.64,75,97,9.36,MH,1712858304
142,vokhtoga,58.8147,41.0461,8.65,66,10,4.91,RU,1712858304
143,hauterive,46.0901,3.4459,16.42,71,98,1.07,FR,1712858305
144,mount pearl,47.5166,-52.7813,5.74,68,20,5.14,CA,1712858197
145,songling,31.1933,120.7176,15.14,97,100,2.56,CN,1712858305
146,glace bay,46.1969,-59.957,10.74,43,0,7.2,CA,1712858305
147,klyuchi,52.2667,79.1667,0.15,86,95,3.49,RU,1712858305
148,kone,-21.0595,164.8658,22.58,90,99,1.79,NC,1712858305
149,nadym,65.5333,72.5167,-13.91,73,99,10.09,RU,1712858305
150,great falls,47.5002,-111.3008,13.15,38,0,3.6,US,1712858085
151,atherton,53.5237,-2.4935,15.42,89,94,1.79,GB,1712858305
